Lesson 3A-4
Vowel Disambiguator Chords
'wheel': WHAOEL
'wheal': WHAEL
'read': RAED
'reed': RAOED
'reel': RAOEL
'real': RAEL
'heel': HAOEL
'heal': HAEL
'hear': HAER
'here': HAOER
'ware': HAEUR
'wear': HAER
'pea': PAE
'pee': PAOE
'peace': PAES
'piece': PAOES
'tee': TAOE
'tea': TAE
'sea': SAE
'see': SAOE
'tail': TAEL
'tale': TAEUL
'sale': SAEL
'sail': SAEUL
'stare': STAER
'stair': STAEUR
'waist': WAEUFT
'waste': WAEFT
'hood': HAOD
'rude': RAOUD
'pool': PAOL
'crew': CRAOU
'soot': SAOT
'truce': TRAOUS
'school': SKAOL
'ruse': RAOUZ
'road': RAOD
'rode': ROED
'roar': RAOR
'toad': TAOD
'soar': SAOR
'sore': SOR
