Lesson 3A-3
Dipthong Chords
'all': AUL
'awful': AUFL
'raw': RAU
'call': KAUL
'caught': KAUT
'crawl': KRAUL
'sprawl': SPRAUL
'scald': SKAULD
'straw': STRAU
'halt': HAULT
'hall': HAUL
'wall': WAUL
'out': OUT
'how': HOU
'howl': HOUL
'house': HOUS
'pout': POUT
'power': POUR
'prowl': PROUL
'tower': TOUR
'spouse': SPOUS
'sprout': SPROUT
'scour': SKOUR
'soy': SOEU
'oil': OEUL
'coil': KOEUL
'toil': TOEUL
'soil': SOEUL
